Entity,Year,Annual CO₂ emissions (per capita)
Afghanistan,1949,0.0019921463
Afghanistan,1950,0.010837263
Afghanistan,1951,0.011625405
Afghanistan,1952,0.011467579
Afghanistan,1953,0.013123442
Afghanistan,1954,0.012945561
Afghanistan,1955,0.018480754
Afghanistan,1956,0.021669537
Afghanistan,1957,0.03413018
Afghanistan,1958,0.03780192
Afghanistan,1959,0.04336016
Afghanistan,1960,0.045809105
Afghanistan,1961,0.05326635
Afghanistan,1962,0.073220685
Afghanistan,1963,0.07358424
Afghanistan,1964,0.085442044
Afghanistan,1965,0.10033108
Afghanistan,1966,0.10628497
Afghanistan,1967,0.12201357
Afghanistan,1968,0.113731004
Afghanistan,1969,0.08543167
Afghanistan,1970,0.14795254
Afghanistan,1971,0.16369417
Afghanistan,1972,0.12910344
Afghanistan,1973,0.13451722
Afghanistan,1974,0.15343168
Afghanistan,1975,0.16607156
Afghanistan,1976,0.15167592
Afghanistan,1977,0.17871422
Afghanistan,1978,0.15819833
Afghanistan,1979,0.16350539
Afghanistan,1980,0.1333637
Afghanistan,1981,0.16573456
Afghanistan,1982,0.19056666
Afghanistan,1983,0.23080859
Afghanistan,1984,0.2521443
Afghanistan,1985,0.30642176
Afghanistan,1986,0.27439904
Afghanistan,1987,0.27343583
Afghanistan,1988,0.24792463
Afghanistan,1989,0.23284891
Afghanistan,1990,0.16805492
Afghanistan,1991,0.15641208
Afghanistan,1992,0.111609384
Afghanistan,1993,0.09950683
Afghanistan,1994,0.08946224
Afghanistan,1995,0.08305075
Afghanistan,1996,0.07713151
Afghanistan,1997,0.0706779
Afghanistan,1998,0.06672792
Afghanistan,1999,0.054890107
Afghanistan,2000,0.05201756
Afghanistan,2001,0.052705813
Afghanistan,2002,0.06272756
Afghanistan,2003,0.06860518
Afghanistan,2004,0.052513395
Afghanistan,2005,0.07742447
Afghanistan,2006,0.084932104
Afghanistan,2007,0.10806375
Afghanistan,2008,0.16065192
Afghanistan,2009,0.23271954
Afghanistan,2010,0.29574293
Afghanistan,2011,0.40338182
Afghanistan,2012,0.32838082
Afghanistan,2013,0.2918324
Afghanistan,2014,0.27707693
Afghanistan,2015,0.2858318
Afghanistan,2016,0.25666383
Afghanistan,2017,0.27116117
Afghanistan,2018,0.28854162
Afghanistan,2019,0.2859553
Afghanistan,2020,0.29706287
Afghanistan,2021,0.25679472
Afghanistan,2022,0.26018026
Afghanistan,2023,0.26583755
Africa,1884,0.00016810493
Africa,1885,0.00027865346
Africa,1886,0.00036027696
Africa,1887,0.00035830968
Africa,1888,0.00060305005
Africa,1889,0.0009820405
Africa,1890,0.0022003131
Africa,1891,0.0021923848
Africa,1892,0.0035353242
Africa,1893,0.013219625
Africa,1894,0.017834708
Africa,1895,0.024409406
Africa,1896,0.031057494
Africa,1897,0.034764815
Africa,1898,0.043902785
Africa,1899,0.039936516
Africa,1900,0.016815761
Africa,1901,0.028121473
Africa,1902,0.04176499
Africa,1903,0.056402333
Africa,1904,0.06341765
Africa,1905,0.07276437
Africa,1906,0.08275714
Africa,1907,0.0909625
Africa,1908,0.09390756
Africa,1909,0.10735923
Africa,1910,0.12100435
Africa,1911,0.116731
Africa,1912,0.123760745
Africa,1913,0.13460414
Africa,1914,0.13367727
Africa,1915,0.13349853
Africa,1916,0.15768538
Africa,1917,0.17112114
Africa,1918,0.16625711
Africa,1919,0.17010342
Africa,1920,0.18615878
Africa,1921,0.18404068
Africa,1922,0.15595937
Africa,1923,0.18666829
Africa,1924,0.19445343
Africa,1925,0.20180704
Africa,1926,0.21327865
Africa,1927,0.2069944
Africa,1928,0.21005066
Africa,1929,0.21359752
Africa,1930,0.19853099
Africa,1931,0.17142504
Africa,1932,0.15295953
Africa,1933,0.16163766
Africa,1934,0.18227975
Africa,1935,0.19862159
Africa,1936,0.21307538
Africa,1937,0.22562651
Africa,1938,0.23430876
Africa,1939,0.24609981
Africa,1940,0.25714242
Africa,1941,0.27570948
Africa,1942,0.2956288
Africa,1943,0.29735428
Africa,1944,0.3243292
Africa,1945,0.32344264
Africa,1946,0.32124582
Africa,1947,0.31506482
Africa,1948,0.32733774
Africa,1949,0.34674028
Africa,1950,0.41701764
Africa,1951,0.43539476
Africa,1952,0.46505156
Africa,1953,0.46214047
Africa,1954,0.47456062
Africa,1955,0.51108426
Africa,1956,0.5218228
Africa,1957,0.53480744
Africa,1958,0.54930294
Africa,1959,0.5339756
Africa,1960,0.55225784
Africa,1961,0.5578704
Africa,1962,0.5590888
Africa,1963,0.5783231
Africa,1964,0.6194853
Africa,1965,0.6665277
Africa,1966,0.672509
Africa,1967,0.70272017
Africa,1968,0.74300355
Africa,1969,0.78125685
Africa,1970,0.82856923
Africa,1971,0.8849349
Africa,1972,0.9141685
Africa,1973,0.9560039
Africa,1974,0.9555312
Africa,1975,0.9262957
Africa,1976,0.9768468
Africa,1977,0.97943646
Africa,1978,1.0164348
Africa,1979,1.0650781
Africa,1980,1.1113248
Africa,1981,1.1046631
Africa,1982,1.1166993
Africa,1983,1.1277089
Africa,1984,1.1966588
Africa,1985,1.1920006
Africa,1986,1.2000421
Africa,1987,1.1665303
Africa,1988,1.1920556
Africa,1989,1.1169164
Africa,1990,1.0241004
Africa,1991,1.0416783
Africa,1992,0.98387396
Africa,1993,1.0155475
Africa,1994,1.1075711
Africa,1995,1.1543082
Africa,1996,1.1624287
Africa,1997,1.1620485
Africa,1998,1.1567322
Africa,1999,1.1124536
Africa,2000,1.1223339
Africa,2001,1.0824655
Africa,2002,1.031915
Africa,2003,1.1064186
Africa,2004,1.1397824
Africa,2005,1.1255245
Africa,2006,1.1300666
Africa,2007,1.1274111
Africa,2008,1.1555102
Africa,2009,1.1197219
Africa,2010,1.1362749
Africa,2011,1.1445029
Africa,2012,1.1256168
Africa,2013,1.1082705
Africa,2014,1.1428853
Africa,2015,1.0937117
Africa,2016,1.1004683
Africa,2017,1.0873774
Africa,2018,1.0554894
Africa,2019,1.098846
Africa,2020,0.9830754
Africa,2021,1.0208951
Africa,2022,0.99125856
Africa,2023,0.9592574
Albania,1933,0.007159781
Albania,1934,0.0070867664
Albania,1935,0.017536236
Albania,1936,0.12147333
Albania,1937,0.27826673
Albania,1938,0.32309836
Albania,1939,0.39708453
Albania,1940,0.62906545
Albania,1941,0.562687
Albania,1942,0.66028625
Albania,1943,0.4049297
Albania,1944,0.13336176
Albania,1945,0.10353056
Albania,1946,0.40916798
Albania,1947,0.774856
Albania,1948,0.58099794
