id,season,episode,title,imdb_rating
10,1,10,Homer's Night Out,7.4
12,1,12,Krusty Gets Busted,8.3
26,2,1,Bart Gets an F,8.2
29,2,4,Two Cars in Every Garage and Three Eyes on Every Fish,8.1
31,2,6,Dead Putting Society,8
33,2,8,Bart the Daredevil,8.4
35,2,10,Bart Gets Hit by a Car,7.8
38,2,13,Homer vs. Lisa and the 8th Commandment,8
40,2,15,"Oh Brother, Where Art Thou?",8.2
42,2,17,Old Money,7.6
44,2,19,Lisa's Substitute,8.5
47,2,22,Blood Feud,8
52,3,2,Mr. Lisa Goes to Washington,7.7
54,3,4,Bart the Murderer,8.7
56,3,6,"Like Father, Like Clown",7.7
59,3,9,Saturdays of Thunder,7.9
61,3,11,Burns Verkaufen der Kraftwerk,8.2
63,3,13,Radio Bart,8.5
66,3,16,Bart the Lover,8.3
68,3,18,Separate Vocations,8.2
70,3,20,Colonel Homer,7.9
73,3,23,Bart's Friend Falls in Love,7.8
76,4,1,Kamp Krusty,8.4
81,4,6,Itchy & Scratchy: The Movie,8.2
85,4,10,Lisa's First Word,8.5
88,4,13,Selma's Choice,8
7,1,7,The Call of the Simpsons,7.9
36,2,11,"One Fish, Two Fish, Blowfish, Blue Fish",8.8
96,4,21,Marge in Chains,7.7
101,5,1,Homer's Barbershop Quartet,8.4
103,5,3,Homer Goes to College,8.6
106,5,6,Marge on the Lam,8
108,5,8,Boy-Scoutz 'n the Hood,8.7
111,5,11,Homer the Vigilante,8.2
112,5,12,Bart Gets Famous,8.1
114,5,14,Lisa vs. Malibu Stacy,8.2
117,5,17,Bart Gets an Elephant,7.9
121,5,21,Lady Bouvier's Lover,7.5
126,6,1,Bart of Darkness,8.6
129,6,4,Itchy & Scratchy Land,8.5
133,6,8,Lisa on Ice,8.4
136,6,11,Fear of Flying,7.8
138,6,13,And Maggie Makes Three,8.5
140,6,15,Homie the Clown,8.5
142,6,17,Homer vs. Patty and Selma,7.9
145,6,20,Two Dozen and One Greyhounds,8.1
147,6,22,'Round Springfield,8.3
149,6,24,Lemon of Troy,8.6
152,7,2,Radioactive Man,8.3
154,7,4,Bart Sells His Soul,8.7
156,7,6,Treehouse of Horror VI,8.5
161,7,11,Marge Be Not Proud,8.3
162,7,12,Team Homer,8.3
165,7,15,Bart the Fink,7.7
83,4,8,New Kid on the Block,8.2
171,7,21,22 Short Films About Springfield,8.8
173,7,23,Much Apu About Nothing,8
175,7,25,Summer of 4 Ft. 2,8.3
179,8,4,"Burns, Baby Burns",7.7
182,8,7,Lisa's Date with Density,7.8
185,8,10,The Springfield Files,9
186,8,11,The Twisted World of Marge Simpson,7.8
189,8,14,The Itchy & Scratchy & Poochie Show,7.9
190,8,15,Homer's Phobia,8.9
193,8,18,Homer vs. the Eighteenth Amendment,8.7
195,8,20,The Canine Mutiny,7.7
197,8,22,In Marge We Trust,8
200,8,25,The Secret War of Lisa Simpson,7.8
202,9,2,The Principal and the Pauper,7.4
206,9,6,Bart Star,7.7
208,9,8,Lisa the Skeptic,8
211,9,11,"All Singing, All Dancing",5.1
213,9,13,The Joy of Sect,8.2
218,9,18,This Little Wiggy,7.8
220,9,20,The Trouble with Trillions,7.9
222,9,22,Trash of the Titans,8.5
225,9,25,Natural Born Kissers,8.1
227,10,2,The Wizard of Evergreen Terrace,8.2
229,10,4,Treehouse of Horror IX,8
234,10,9,Mayored to the Mob,8.2
236,10,11,Wild Barts Can't Be Broken,7.7
241,10,16,Make Room for Lisa,7.5
244,10,19,Mom and Pop Art,7.6
